plotname,area,points,devRRT
inputs/sample_19_comp=Target_1.jpeg,73740.45,1,0.00093000000000000005
inputs/sample_16_comp=Target_1.jpeg,2380134.06,11,3.1e-4
inputs/sample_14_comp=Target_1.jpeg,1581012.12,2,0.00148
inputs/sample_3_comp=Target_1.jpeg,135027.34,1,2.5e-4
inputs/sample_15_comp=Target_1.jpeg,1379247.61,4,0.00114
inputs/sample_10_comp=Target_1.jpeg,2471398.05,9,0.00296
inputs/sample_4_comp=Target_1.jpeg,2091084.19,7,0.00164
inputs/sample_17_comp=Target_1.jpeg,3216109.2,10,0.003
inputs/sample_24_comp=Target_1.jpeg,4788077.53,9,0.00193
inputs/sample_11_comp=Target_1.jpeg,1322487.42,7,7.2e-4
inputs/sample_13_comp=Target_1.jpeg,337398.53,1,0.00142
inputs/sample_23_comp=Target_1.jpeg,264029.09,1,5.1e-4
inputs/sample_2_comp=Target_1.jpeg,1056292.19,3,1.7e-4
inputs/sample_5_comp=Target_1.jpeg,985742.66,13,0.00585
inputs/sample_22_comp=Target_1.jpeg,162862.42,1,0.00113
inputs/sample_20_comp=Target_1.jpeg,1536151.98,12,0.00296
inputs/sample_12_comp=Target_1.jpeg,10147864.38,9,7e-5
inputs/sample_21_comp=Target_1.jpeg,980596.12,2,9.6e-4
inputs/sample_18_comp=Target_1.jpeg,482748.02,4,4.7e-4
inputs/sample_1_comp=Target_1.jpeg,1163201.99,9,0.00131
inputs/sample_16_comp=Target_10.jpeg,0,0,1
inputs/sample_10_comp=Target_10.jpeg,0,0,1
inputs/sample_11_comp=Target_10.jpeg,0,0,1
inputs/sample_19_comp=Target_10.jpeg,0,0,1
inputs/sample_14_comp=Target_10.jpeg,0,0,1
inputs/sample_4_comp=Target_10.jpeg,0,0,1
inputs/sample_3_comp=Target_10.jpeg,0,0,1
inputs/sample_5_comp=Target_10.jpeg,0,0,1
inputs/sample_15_comp=Target_10.jpeg,0,0,1
inputs/sample_17_comp=Target_10.jpeg,0,0,1
inputs/sample_22_comp=Target_10.jpeg,0,0,1
inputs/sample_21_comp=Target_10.jpeg,0,0,1
inputs/sample_20_comp=Target_10.jpeg,0,0,1
inputs/sample_2_comp=Target_10.jpeg,0,0,1
inputs/sample_24_comp=Target_10.jpeg,0,0,1
inputs/sample_18_comp=Target_10.jpeg,0,0,1
inputs/sample_1_comp=Target_10.jpeg,0,0,1
inputs/sample_12_comp=Target_10.jpeg,0,0,1
inputs/sample_13_comp=Target_10.jpeg,0,0,1
inputs/sample_23_comp=Target_10.jpeg,0,0,1
inputs/sample_10_comp=Target_11.jpeg,657034.3,6,0.02084
inputs/sample_4_comp=Target_11.jpeg,0,0,1
inputs/sample_1_comp=Target_11.jpeg,303983.28,3,0.00162
inputs/sample_19_comp=Target_11.jpeg,0,0,1
inputs/sample_14_comp=Target_11.jpeg,264118.88,1,0.00933
inputs/sample_20_comp=Target_11.jpeg,0,0,1
inputs/sample_15_comp=Target_11.jpeg,0,0,1
inputs/sample_22_comp=Target_11.jpeg,0,0,1
inputs/sample_17_comp=Target_11.jpeg,0,0,1
inputs/sample_21_comp=Target_11.jpeg,173552.84,1,0.01916
inputs/sample_5_comp=Target_11.jpeg,0,0,1
inputs/sample_18_comp=Target_11.jpeg,1163980.01,9,0.01899
inputs/sample_16_comp=Target_11.jpeg,83899.13,1,0.02104
inputs/sample_13_comp=Target_11.jpeg,0,0,1
inputs/sample_11_comp=Target_11.jpeg,748259.73,7,0.02143
inputs/sample_3_comp=Target_11.jpeg,0,0,1
inputs/sample_2_comp=Target_11.jpeg,73087.73,1,0.00877
inputs/sample_24_comp=Target_11.jpeg,158406.52,1,0.01966
inputs/sample_12_comp=Target_11.jpeg,275744.28,1,0.02148
inputs/sample_23_comp=Target_11.jpeg,109861.23,1,0.01816
inputs/sample_10_comp=Target_12.jpeg,185420.94,1,0.00133
inputs/sample_4_comp=Target_12.jpeg,120399.61,1,0.01073
inputs/sample_14_comp=Target_12.jpeg,10066687.69,11,0.00242
inputs/sample_3_comp=Target_12.jpeg,93113.68,1,0.00553
inputs/sample_19_comp=Target_12.jpeg,69160.66,1,0.0016
inputs/sample_1_comp=Target_12.jpeg,107569.72,1,0.00231
inputs/sample_5_comp=Target_12.jpeg,282301.54,4,0.00606
inputs/sample_15_comp=Target_12.jpeg,0,0,1
inputs/sample_18_comp=Target_12.jpeg,130353.18,1,0.00393
inputs/sample_21_comp=Target_12.jpeg,300500.03,1,0.007
inputs/sample_22_comp=Target_12.jpeg,417332.55,3,0.00237
inputs/sample_16_comp=Target_12.jpeg,149603.94,1,0.00969
inputs/sample_11_comp=Target_12.jpeg,175143,1,1.9e-4
inputs/sample_20_comp=Target_12.jpeg,0,0,1
inputs/sample_17_comp=Target_12.jpeg,221551.66,1,0.00191
inputs/sample_13_comp=Target_12.jpeg,154880.33,1,0.0158
inputs/sample_12_comp=Target_12.jpeg,2340193.09,4,0.00511
inputs/sample_2_comp=Target_12.jpeg,171585.52,1,6.3e-4
inputs/sample_24_comp=Target_12.jpeg,10962429.56,10,0.00421
inputs/sample_23_comp=Target_12.jpeg,256057.2,1,0.00229
inputs/sample_10_comp=Target_13.jpeg,81749.01,1,0.00338
inputs/sample_4_comp=Target_13.jpeg,83797.95,1,0.00549
inputs/sample_14_comp=Target_13.jpeg,16508239.58,21,0.00921
inputs/sample_19_comp=Target_13.jpeg,0,0,1
inputs/sample_1_comp=Target_13.jpeg,51141.09,1,0.00641
inputs/sample_3_comp=Target_13.jpeg,88361.94,1,0.00355
inputs/sample_18_comp=Target_13.jpeg,403007.2,3,0.00884
inputs/sample_15_comp=Target_13.jpeg,70207.74,1,0.00786
inputs/sample_13_comp=Target_13.jpeg,52144.01,1,0.00713
inputs/sample_16_comp=Target_13.jpeg,52461.9,1,0.00546
inputs/sample_21_comp=Target_13.jpeg,19517589.09,12,0.00929
inputs/sample_5_comp=Target_13.jpeg,41755.41,1,0.00368
inputs/sample_11_comp=Target_13.jpeg,1219116.85,7,0.01042
inputs/sample_20_comp=Target_13.jpeg,79883.63,1,0.01068
inputs/sample_22_comp=Target_13.jpeg,391376.97,3,0.00724
inputs/sample_2_comp=Target_13.jpeg,1651648.28,6,0.00727
inputs/sample_12_comp=Target_13.jpeg,2269795.97,5,0.00907
inputs/sample_17_comp=Target_13.jpeg,2625830.96,8,0.01137
inputs/sample_24_comp=Target_13.jpeg,136971.84,1,0.00581
inputs/sample_23_comp=Target_13.jpeg,733404.45,5,0.00952
inputs/sample_19_comp=Target_14.jpeg,0,0,1
inputs/sample_4_comp=Target_14.jpeg,59440.18,1,0.01879
inputs/sample_14_comp=Target_14.jpeg,848308.55,4,0.01907
inputs/sample_1_comp=Target_14.jpeg,0,0,1
