plotname,area,points,devRRT
inputs/sample_19_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_1_confirming.jpeg,697758.62,1,0.01106
inputs/sample_10_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_1_confirming.jpeg,107589.88,1,0.00484
inputs/sample_16_comp=Target_1_confirming.jpeg,227325.7,1,0.00808
inputs/sample_24_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_1_confirming.jpeg,79061.41,1,0.00738
inputs/sample_11_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_1_confirming.jpeg,853637.44,1,0.01432
inputs/sample_12_comp=Target_1_confirming.jpeg,876156.38,1,0.00901
inputs/sample_3_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_1_confirming.jpeg,230615.58,1,7.7e-4
inputs/sample_17_comp=Target_1_confirming.jpeg,586041.19,1,0.01659
inputs/sample_23_comp=Target_1_confirming.jpeg,64464.33,1,0.00534
inputs/sample_21_comp=Target_1_confirming.jpeg,530975.81,1,0.00921
inputs/sample_13_comp=Target_1_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_1_confirming.jpeg,93331.14,1,0.01677
inputs/sample_1_comp=Target_1_confirming.jpeg,63190.96,1,0.00831
inputs/sample_18_comp=Target_1_confirming.jpeg,130238.84,1,0.0089
inputs/sample_16_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_10_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_10_confirming.jpeg,0,0,1
